agent,model,domain,skillMethod,vanilla,methodScore
OpenClaw,Qwen3.5-27B,BrowseCompPlus,Memento,10.8,11.3
OpenClaw,Qwen3.5-27B,BrowseCompPlus,ReasoningBank,10.8,12.8
OpenClaw,Qwen3.5-27B,BrowseCompPlus,GEPA,10.8,14.9
OpenClaw,Qwen3.5-27B,BrowseCompPlus,Anchor Skill†,10.8,14.9
OpenClaw,Qwen3.5-27B,LiveCodeBench,Memento,51.9,53.9
OpenClaw,Qwen3.5-27B,LiveCodeBench,ReasoningBank,51.9,57.4
OpenClaw,Qwen3.5-27B,LiveCodeBench,GEPA,51.9,53.9
OpenClaw,Qwen3.5-27B,LiveCodeBench,Anchor Skill†,51.9,60.5
OpenClaw,Qwen3.5-27B,SWE-Bench,Memento,42.3,45.2
OpenClaw,Qwen3.5-27B,SWE-Bench,ReasoningBank,42.3,36.9
OpenClaw,Qwen3.5-27B,SWE-Bench,GEPA,42.3,41.7
OpenClaw,Qwen3.5-27B,SWE-Bench,Anchor Skill†,42.3,52.4
OpenClaw,Qwen3.5-27B,GDPVal,Memento,43.6,44.3
OpenClaw,Qwen3.5-27B,GDPVal,ReasoningBank,43.6,48.2
OpenClaw,Qwen3.5-27B,GDPVal,GEPA,43.6,31.3
OpenClaw,Qwen3.5-27B,GDPVal,Anchor Skill†,43.6,48.6
Nanobot,Qwen3.5-27B,BrowseCompPlus,Memento,8.7,12.3
Nanobot,Qwen3.5-27B,BrowseCompPlus,ReasoningBank,8.7,9.2
Nanobot,Qwen3.5-27B,BrowseCompPlus,GEPA,8.7,11.8
Nanobot,Qwen3.5-27B,BrowseCompPlus,Anchor Skill†,8.7,13.3
Nanobot,Qwen3.5-27B,LiveCodeBench,Memento,52.7,57.0
Nanobot,Qwen3.5-27B,LiveCodeBench,ReasoningBank,52.7,62.4
Nanobot,Qwen3.5-27B,LiveCodeBench,GEPA,52.7,60.5
Nanobot,Qwen3.5-27B,LiveCodeBench,Anchor Skill†,52.7,63.2
Nanobot,Qwen3.5-27B,SWE-Bench,Memento,45.8,9.5
Nanobot,Qwen3.5-27B,SWE-Bench,ReasoningBank,45.8,53.0
Nanobot,Qwen3.5-27B,SWE-Bench,GEPA,45.8,48.8
Nanobot,Qwen3.5-27B,SWE-Bench,Anchor Skill†,45.8,49.4
Nanobot,Qwen3.5-27B,GDPVal,Memento,43.9,47.6
Nanobot,Qwen3.5-27B,GDPVal,ReasoningBank,43.9,49.2
Nanobot,Qwen3.5-27B,GDPVal,GEPA,43.9,46.6
Nanobot,Qwen3.5-27B,GDPVal,Anchor Skill†,43.9,57.7
OpenClaw,Qwen3.5-397B,BrowseCompPlus,Memento,31.8,33.8
OpenClaw,Qwen3.5-397B,BrowseCompPlus,ReasoningBank,31.8,39.0
OpenClaw,Qwen3.5-397B,BrowseCompPlus,GEPA,31.8,32.3
OpenClaw,Qwen3.5-397B,BrowseCompPlus,Anchor Skill†,31.8,45.3
OpenClaw,Qwen3.5-397B,LiveCodeBench,Memento,52.7,60.9
OpenClaw,Qwen3.5-397B,LiveCodeBench,ReasoningBank,52.7,59.3
OpenClaw,Qwen3.5-397B,LiveCodeBench,GEPA,52.7,61.6
OpenClaw,Qwen3.5-397B,LiveCodeBench,Anchor Skill†,52.7,64.0
OpenClaw,Qwen3.5-397B,SWE-Bench,Memento,66.7,63.7
OpenClaw,Qwen3.5-397B,SWE-Bench,ReasoningBank,66.7,61.3
OpenClaw,Qwen3.5-397B,SWE-Bench,GEPA,66.7,67.9
OpenClaw,Qwen3.5-397B,SWE-Bench,Anchor Skill†,66.7,76.8
OpenClaw,Qwen3.5-397B,GDPVal,Memento,55.8,50.0
OpenClaw,Qwen3.5-397B,GDPVal,ReasoningBank,55.8,57.3
OpenClaw,Qwen3.5-397B,GDPVal,GEPA,55.8,56.5
OpenClaw,Qwen3.5-397B,GDPVal,Anchor Skill†,55.8,59.6
Nanobot,Qwen3.5-397B,BrowseCompPlus,Memento,12.8,16.9
Nanobot,Qwen3.5-397B,BrowseCompPlus,ReasoningBank,12.8,15.9
Nanobot,Qwen3.5-397B,BrowseCompPlus,GEPA,12.8,14.9
Nanobot,Qwen3.5-397B,BrowseCompPlus,Anchor Skill†,12.8,20.0
Nanobot,Qwen3.5-397B,LiveCodeBench,Memento,57.8,63.5
Nanobot,Qwen3.5-397B,LiveCodeBench,ReasoningBank,57.8,64.3
Nanobot,Qwen3.5-397B,LiveCodeBench,GEPA,57.8,65.1
Nanobot,Qwen3.5-397B,LiveCodeBench,Anchor Skill†,57.8,69.8
Nanobot,Qwen3.5-397B,SWE-Bench,Memento,62.5,64.9
Nanobot,Qwen3.5-397B,SWE-Bench,ReasoningBank,62.5,63.1
Nanobot,Qwen3.5-397B,SWE-Bench,GEPA,62.5,71.4
Nanobot,Qwen3.5-397B,SWE-Bench,Anchor Skill†,62.5,79.8
Nanobot,Qwen3.5-397B,GDPVal,Memento,53.4,52.2
Nanobot,Qwen3.5-397B,GDPVal,ReasoningBank,53.4,52.5
Nanobot,Qwen3.5-397B,GDPVal,GEPA,53.4,52.2
Nanobot,Qwen3.5-397B,GDPVal,Anchor Skill†,53.4,62.0
OpenClaw,Gemma-4-31B,BrowseCompPlus,Memento,13.3,16.4
OpenClaw,Gemma-4-31B,BrowseCompPlus,ReasoningBank,13.3,13.3
OpenClaw,Gemma-4-31B,BrowseCompPlus,GEPA,13.3,17.4
OpenClaw,Gemma-4-31B,BrowseCompPlus,Anchor Skill†,13.3,17.9
OpenClaw,Gemma-4-31B,LiveCodeBench,Memento,72.1,67.8
OpenClaw,Gemma-4-31B,LiveCodeBench,ReasoningBank,72.1,61.2
OpenClaw,Gemma-4-31B,LiveCodeBench,GEPA,72.1,69.8
OpenClaw,Gemma-4-31B,LiveCodeBench,Anchor Skill†,72.1,72.5
OpenClaw,Gemma-4-31B,SWE-Bench,Memento,25.0,20.2
OpenClaw,Gemma-4-31B,SWE-Bench,ReasoningBank,25.0,31.5
OpenClaw,Gemma-4-31B,SWE-Bench,GEPA,25.0,42.3
OpenClaw,Gemma-4-31B,SWE-Bench,Anchor Skill†,25.0,32.7
OpenClaw,Gemma-4-31B,GDPVal,Memento,44.1,33.2
OpenClaw,Gemma-4-31B,GDPVal,ReasoningBank,44.1,42.7
OpenClaw,Gemma-4-31B,GDPVal,GEPA,44.1,44.8
OpenClaw,Gemma-4-31B,GDPVal,Anchor Skill†,44.1,54.8
Nanobot,Gemma-4-31B,BrowseCompPlus,Memento,9.2,10.3
Nanobot,Gemma-4-31B,BrowseCompPlus,ReasoningBank,9.2,4.6
Nanobot,Gemma-4-31B,BrowseCompPlus,GEPA,9.2,9.7
Nanobot,Gemma-4-31B,BrowseCompPlus,Anchor Skill†,9.2,12.3
Nanobot,Gemma-4-31B,LiveCodeBench,Memento,69.0,72.4
Nanobot,Gemma-4-31B,LiveCodeBench,ReasoningBank,69.0,72.5
Nanobot,Gemma-4-31B,LiveCodeBench,GEPA,69.0,70.2
Nanobot,Gemma-4-31B,LiveCodeBench,Anchor Skill†,69.0,73.3
Nanobot,Gemma-4-31B,SWE-Bench,Memento,17.3,21.4
Nanobot,Gemma-4-31B,SWE-Bench,ReasoningBank,17.3,24.4
Nanobot,Gemma-4-31B,SWE-Bench,GEPA,17.3,37.5
Nanobot,Gemma-4-31B,SWE-Bench,Anchor Skill†,17.3,26.8
Nanobot,Gemma-4-31B,GDPVal,Memento,43.2,46.2
Nanobot,Gemma-4-31B,GDPVal,ReasoningBank,43.2,46.5
Nanobot,Gemma-4-31B,GDPVal,GEPA,43.2,47.9
Nanobot,Gemma-4-31B,GDPVal,Anchor Skill†,43.2,49.3
